2020,19200110-19871002,0.75,19871003-20209999,1,,,,,,,,,,,,,,,,
2031,19730710-20209999,0.5,,,,,,,,,,,,,,,,,,
2040,19020520-19590113,0.5,19590114-20141216,0,20141217-20209999,0.25,,,,,,,,,,,,,,
2041,19009999-19150909,0,19150910-19610529,0.5,19610530-19640115,0.25,19640116-19911003,0.5,19911004-20040228,0.25,20040229-20209999,0.5,,,,,,,,
2042,19009999-19160504,0.25,19160505-20209999,0.5,,,,,,,,,,,,,,,,
2051,19620806-20209999,0.5,,,,,,,,,,,,,,,,,,
2052,19620831-20209999,0.5,,,,,,,,,,,,,,,,,,
2053,19661130-20209999,0.5,,,,,,,,,,,,,,,,,,
2054,19781103-20209999,0.5,,,,,,,,,,,,,,,,,,
2055,19740207-20209999,0.5,,,,,,,,,,,,,,,,,,
2056,19790222-20209999,0.5,,,,,,,,,,,,,,,,,,
2057,19791027-20209999,0.5,,,,,,,,,,,,,,,,,,
2058,19811101-20209999,0.5,,,,,,,,,,,,,,,,,,
2060,19830919-20209999,0.5,,,,,,,,,,,,,,,,,,
2070,19009999-19230923,0,19230924-19931231,0.5,19940101-20209999,0.75,,,,,,,,,,,,,,
2080,19810921-20209999,0.5,,,,,,,,,,,,,,,,,,
2090,19009999-20209999,0.5,,,,,,,,,,,,,,,,,,
2091,19009999-20209999,0.5,,,,,,,,,,,,,,,,,,
2092,19009999-20209999,0.5,,,,,,,,,,,,,,,,,,
2093,19000101-19090102,0.5,19090103-19260923,0,19260924-19330101,-9,19330102-19470525,0.5,19470526-19480530,0.25,19480531-19790630,0.5,19790701-19810118,-9,19810119-19880330,0,19880331-19910925,-9,19910926-20209999,0.5
2094,19200101-20209999,0.5,,,,,,,,,,,,,,,,,,
2095,19031103-19870928,0.5,19870929-19891222,0.25,19891223-20209999,0.5,,,,,,,,,,,,,,
2100,19009999-20209999,0.5,,,,,,,,,,,,,,,,,,
2101,19009999-20020513,0.5,20020514-20209999,0.25,,,,,,,,,,,,,,,,
2110,19660526-20209999,0.5,,,,,,,,,,,,,,,,,,
2115,19751125-20209999,0.5,,,,,,,,,,,,,,,,,,
2130,19009999-19520815,0.5,19520816-19821209,0.25,19821210-19851011,-9,19851012-20209999,0.5,,,,,,,,,,,,
2135,19009999-19520824,0.5,19520825-20001112,0.25,20001113-20209999,0.5,,,,,,,,,,,,,,
2140,19009999-20209999,0.5,,,,,,,,,,,,,,,,,,
2145,19009999-20209999,0.5,,,,,,,,,,,,,,,,,,
2150,19009999-20209999,0.5,,,,,,,,,,,,,,,,,,
2155,19009999-20209999,0.5,,,,,,,,,,,,,,,,,,
2160,19009999-20209999,0.5,,,,,,,,,,,,,,,,,,
2165,19009999-20209999,0.5,,,,,,,,,,,,,,,,,,
2200,19009999-19020630,0.5,19020701-19031020,0.25,19031021-19411206,0.5,19411207-20209999,0.75,,,,,,,,,,,,
2205,19221206-20209999,0.5,,,,,,,,,,,,,,,,,,
2210,19170417-20209999,0.5,,,,,,,,,,,,,,,,,,
2211,19170417-20209999,0.5,,,,,,,,,,,,,,,,,,
2212,19201115-20209999,0.5,,,,,,,,,,,,,,,,,,
2220,19009999-20209999,0.5,,,,,,,,,,,,,,,,,,
2221,19930528-20209999,0.5,,,,,,,,,,,,,,,,,,
2223,19900918-20209999,0.5,,,,,,,,,,,,,,,,,,
2225,19170417-20209999,0.5,,,,,,,,,,,,,,,,,,
2230,19009999-20209999,0.5,,,,,,,,,,,,,,,,,,
2232,19930728-20209999,0.5,,,,,,,,,,,,,,,,,,
2235,19170417-20209999,0.5,,,,,,,,,,,,,,,,,,
2255,19009999-19150209,0.5,19150210-19210702,0,19210703-19391023,0.5,19391024-19450507,0,19450508-20209999,0.5,,,,,,,,,,
2265,19491007-19901002,0.25,,,,,,,,,,,,,,,,,,
2290,19170417-20209999,0.5,,,,,,,,,,,,,,,,,,
2300,19009999-19171206,0.5,19171207-19181112,0.25,,,,,,,,,,,,,,,,
2305,19190910-20209999,0.5,,,,,,,,,,,,,,,,,,
2310,19170417-20209999,0.5,,,,,,,,,,,,,,,,,,
2315,19181028-19451130,0.5,19451201-19480224,-9,19480225-19891226,0.25,19891227-19921231,0.5,,,,,,,,,,,,
2316,19930101-20209999,0.5,,,,,,,,,,,,,,,,,,
2317,19930101-20209999,0.5,,,,,,,,,,,,,,,,,,
2325,19009999-19411210,0.5,19411211-19430903,0,19430904-20209999,0.5,,,,,,,,,,,,,,
2331,19920302-20209999,0.5,,,,,,,,,,,,,,,,,,
2338,19640921-20209999,0.5,,,,,,,,,,,,,,,,,,
2339,19170417-20209999,0.5,,,,,,,,,,,,,,,,,,
2341,20060612-20209999,0.5,,,,,,,,,,,,,,,,,,
2343,19930408-20209999,0.5,,,,,,,,,,,,,,,,,,
2344,19920115-20209999,0.5,,,,,,,,,,,,,,,,,,
